#level,elixir cost,gold cost
#------------------------------------
[BARBARIAN]
2,100,100
3,200,130
4,300,160
5,400,190
6,500,220
7,600,250
8,700,280
9,800,310
10,900,340
11,1000,370
12,1100,400
13,1200,430
14,1300,460
15,1400,490
16,1500,520
17,1600,550
18,1700,580
19,1800,610
20,1900,640
21,2000,670
22,2100,700
23,2200,730
24,2300,760
25,2400,790
26,2500,820
27,2600,850
28,2700,880
29,2800,910
30,2900,940
31,3000,970
32,3100,1000
33,3200,1050
34,3300,1100
35,3400,1150
36,3500,1200
37,3600,1250
38,3700,1300
39,3800,1350
40,3900,1400
41,4000,1450
42,4100,1500
43,4200,1550
44,4300,1600
45,4400,1650
46,4500,1700
47,4600,1750
48,4700,1800
49,4800,1850
50,4900,1900
#------------------------------------
[SUPERBARBARIAN]
52,5000,1950
53,5100,2000
54,5200,2050
55,5300,2100
56,5400,2150
57,5500,2200
58,5600,2250
59,5700,2300
60,5800,2350
61,5900,2400
62,6000,2450
63,6100,2500
64,6200,2550
65,6300,2600
66,6400,2650
67,6500,2700
68,6600,2750
69,6700,2800
70,6800,2850
71,6900,2900
72,7000,2950
73,7100,3000
74,7200,3050
75,7300,3100
76,7400,3150
77,7500,3200
78,7600,3250
79,7700,3300
80,7800,3350
81,7900,3400
82,8000,3450
83,8100,3500
84,8200,3550
85,8300,3600
86,8400,3650
87,8500,3700
88,8600,3750
89,8700,3800
90,8800,3900
91,8900,4000
92,9000,4100
93,9100,4200
94,9200,4300
95,9300,4400
96,9400,4500
97,9500,4600
98,9600,4700
99,9700,4800
100,9800,4900
#------------------------------------
[BARBARIANKING]
102,10000,5000
103,10200,5100
104,10400,5200
105,10600,5300
106,10800,5400
107,11000,5500
108,11200,5600
109,11400,5700
110,11600,5800
111,11800,5900
112,12000,6000
113,12200,6100
114,12400,6200
115,12600,6300
116,12800,6400
117,13000,6500
118,13200,6600
119,13400,6700
120,13600,6800
121,13800,6900
122,14000,7000
123,14200,7100
124,14400,7200
125,14600,7300
126,14800,7400
127,15000,7500
128,15250,7650
129,15500,7800
130,15750,7950
131,16000,8100
132,16250,8250
133,16500,8400
134,16750,8550
135,17000,8700
136,17250,8850
137,17500,9000
138,17750,9150
139,18000,9300
140,18250,9450
141,18500,9600
142,18750,9750
143,19000,9900
144,19250,10050
145,19500,10200
146,19750,10350
147,20000,10500
148,20300,10200
149,20600,10400
150,20900,10600
