# level,upgrade cost,% increase in stat (separate with :)
#------------------------------------
[WOODENSWORD]
1,0:0,10
2,1000:120,15
3,2500:240,20
4,4000:400,25
5,6000:600,30
6,8000:840,35
7,10000:1120,40
8,12500:1440,45
9,15000:1800,50
10,17500:1900,55
11,20000:2000,60
12,25000:2100,65
13,30000:2300,70
14,35000:2500,75
15,40000:2700,80
#------------------------------------
[STONESWORD]
1,0:750,30:10
2,2000:120,35:11
3,4000:240,40:12
4,6000:400,45:13
5,8000:600,50:14
6,10000:840,55:15
7,12000:1120,60:16
8,14000:1440,65:17
9,16000:1800,70:18
10,18000:1900,75:19
11,22000:2000,80:20
12,26000:2100,85:21
13,34000:2300,90:22
14,42000:2500,95:23
15,50000:2700,100:25
#------------------------------------
[IRONSWORD]
1,0:3000,50:20
2,2500:120,55:22
3,5000:240,60:24
4,7500:400,65:26
5,10000:600,70:28
6,12500:840,75:30
7,15000:1120,80:32
8,17500:1440,85:34
9,20000:1800,90:36
10,25000:1900,95:38
11,30000:2000,100:40
12,35000:2100,105:42
13,40000:2300,110:44
14,45000:2500,115:47
15,60000:2700,120:50
#------------------------------------
[GOLDSWORD]
1,0:4500,60:25
2,3000:120,65:29
3,6000:240,70:32
4,12000:400,75:35
5,15000:600,80:38
6,18000:840,85:41
7,21000:1120,90:44
8,24000:1440,95:47
9,27000:1800,100:50
10,30000:1900,110:54
11,35000:2000,120:58
12,40000:2100,130:62
13,50000:2300,140:66
14,65000:2500,150:70
15,80000:2700,160:75
#------------------------------------
[DIAMONDSWORD]
1,0:7000,100:45:20
2,4000:120,105:48:22
3,8000:240,110:52:24
4,12000:400,115:56:26
5,16000:600,120:60:28
6,20000:840,125:64:30
7,24000:1120,130:68:32
8,32000:1440,135:72:34
9,40000:1800,140:76:36
10,48000:1900,150:80:38
11,56000:2000,160:84:40
12,64000:2100,170:88:42
13,72000:2300,180:92:44
14,80000:2500,190:96:47
15,90000:2700,200:100:50
#------------------------------------
[RAINBOWSWORD]
1,0:10000,160:80:70
#------------------------------------
[WOODENSHIELD]
1,0:0,10
2,1000:120,15
3,2500:240,20
4,4000:400,25
5,6000:600,30
6,8000:840,35
7,10000:1120,40
8,12500:1440,45
9,15000:1800,50
10,17500:1900,55
11,20000:2000,60
12,25000:2100,65
13,30000:2300,70
14,35000:2500,75
15,40000:2700,80
#------------------------------------
[MEATSHIELD]
1,0:750,30:5
2,2000:120,35:6
3,4000:240,40:7
4,6000:400,45:8
5,8000:600,50:9
6,10000:840,55:10
7,12000:1120,60:11
8,14000:1440,65:12
9,16000:1800,70:13
10,18000:1900,75:14
11,22000:2000,80:15
12,26000:2100,85:16
13,34000:2300,90:17
14,42000:2500,95:18
15,50000:2700,100:20
#------------------------------------
[IRONSHIELD]
1,0:3000,50:15
2,2500:120,55:16
3,5000:240,60:17
4,7500:400,65:18
5,10000:600,70:19
6,12500:840,75:20
7,15000:1120,80:21
8,17500:1440,85:22
9,20000:1800,90:23
10,25000:1900,95:24
11,30000:2000,100:25
12,35000:2100,105:26
13,40000:2300,110:27
14,45000:2500,115:28
15,60000:2700,120:30
#------------------------------------
[GOLDSHIELD]
1,0:4500,30:20
2,3000:120,32:21
3,6000:240,34:22
4,12000:400,36:23
5,15000:600,38:24
6,18000:840,41:25
7,21000:1120,44:26
8,24000:1440,47:27
9,27000:1800,50:28
10,30000:1900,55:30
11,35000:2000,60:32
12,40000:2100,65:34
13,50000:2300,70:36
14,65000:2500,75:38
15,80000:2700,80:40
#------------------------------------
[EMERALDSHIELD]
1,0:7000,50:25
2,4000:120,55:26
3,8000:240,60:27
4,12000:400,65:28
5,16000:600,70:29
6,20000:840,75:31
7,24000:1120,80:33
8,32000:1440,85:35
9,40000:1800,90:37
10,48000:1900,95:39
11,56000:2000,100:41
12,64000:2100,105:43
13,72000:2300,110:45
14,80000:2500,115:47
15,90000:2700,120:50
#------------------------------------
[FROZENSHIELD]
1,0:10000,100:30:25
#------------------------------------
[LONSDALEITESWORD]
1,1000:10000,999:999:100
